session_id,cinema_name,movie_name,session_date,start_time,tickets_sold,max_capacity,occupancy_rate
1,Village - Karingal,Maze Runner: The Death Cure,2018-01-26,11:30,151,300,0.5033333333333333
2,Village - Karingal,Maze Runner: The Death Cure,2018-01-26,14:30,122,275,0.4436363636363637
3,Village - Karingal,Maze Runner: The Death Cure,2018-01-26,16:15,35,175,0.2
4,Village - Karingal,Maze Runner: The Death Cure,2018-01-26,18:15,15,400,0.0375
5,Village - Karingal,Maze Runner: The Death Cure,2018-01-27,10:30,25,400,0.0625
6,Village - Karingal,Maze Runner: The Death Cure,2018-01-27,13:45,98,250,0.392
7,Village - Karingal,Maze Runner: The Death Cure,2018-01-27,19:45,14,375,0.037333333333333336
8,Village - Karingal,Maze Runner: The Death Cure,2018-01-27,20:00,49,200,0.245
9,Village - Karingal,Maze Runner: The Death Cure,2018-01-28,14:45,101,250,0.40399999999999997
10,Village - Karingal,Maze Runner: The Death Cure,2018-01-28,17:30,56,200,0.28
11,Village - Karingal,Maze Runner: The Death Cure,2018-01-28,20:30,259,375,0.6906666666666667
12,Village - Karingal,Maze Runner: The Death Cure,2018-01-28,21:00,67,225,0.2977777777777777
13,Village - Karingal,Maze Runner: The Death Cure,2018-01-29,11:30,4,375,0.010666666666666666
14,Village - Karingal,Maze Runner: The Death Cure,2018-01-29,16:00,19,400,0.0475
15,Village - Karingal,Maze Runner: The Death Cure,2018-01-29,19:30,93,250,0.37200000000000005
16,Village - Karingal,Maze Runner: The Death Cure,2018-01-29,21:30,13,375,0.034666666666666665
17,Village - Karingal,Maze Runner: The Death Cure,2018-01-30,12:30,5,375,0.013333333333333334
18,Village - Karingal,Maze Runner: The Death Cure,2018-01-30,18:15,25,400,0.0625
19,Village - Karingal,Maze Runner: The Death Cure,2018-01-30,20:00,19,400,0.0475
20,Village - Karingal,Maze Runner: The Death Cure,2018-01-30,21:00,95,250,0.38
21,Village - Karingal,Maze Runner: The Death Cure,2018-01-31,14:45,2,375,0.005333333333333333
22,Village - Karingal,Maze Runner: The Death Cure,2018-01-31,16:00,20,400,0.05
23,Village - Karingal,Maze Runner: The Death Cure,2018-01-31,19:00,9,375,0.024
24,Village - Karingal,Maze Runner: The Death Cure,2018-01-31,19:30,22,400,0.055
25,Village - Karingal,Maze Runner: The Death Cure,2018-02-01,11:30,124,275,0.4509090909090909
26,Village - Karingal,Maze Runner: The Death Cure,2018-02-01,14:30,16,400,0.04
27,Village - Karingal,Maze Runner: The Death Cure,2018-02-01,17:30,47,200,0.235
28,Village - Karingal,Maze Runner: The Death Cure,2018-02-01,18:30,2,375,0.005333333333333333
29,Village - Karingal,Maze Runner: The Death Cure,2018-02-02,15:30,38,200,0.19
30,Village - Karingal,Maze Runner: The Death Cure,2018-02-02,16:15,276,400,0.69
31,Village - Karingal,Maze Runner: The Death Cure,2018-02-02,19:45,28,175,0.16
32,Village - Karingal,Maze Runner: The Death Cure,2018-02-03,13:45,77,225,0.3422222222222222
33,Village - Karingal,Maze Runner: The Death Cure,2018-02-03,14:30,4,375,0.010666666666666666
34,Village - Karingal,Maze Runner: The Death Cure,2018-02-03,16:15,11,375,0.029333333333333333
35,Village - Karingal,Maze Runner: The Death Cure,2018-02-04,17:30,79,225,0.3511111111111111
36,Village - Karingal,Maze Runner: The Death Cure,2018-02-04,20:00,294,375,0.784
37,Village - Karingal,Maze Runner: The Death Cure,2018-02-04,20:30,108,250,0.43200000000000005
38,Village - Karingal,Maze Runner: The Death Cure,2018-02-05,13:15,11,375,0.029333333333333333
39,Village - Karingal,Maze Runner: The Death Cure,2018-02-05,16:15,6,375,0.016
40,Village - Karingal,Maze Runner: The Death Cure,2018-02-05,21:00,23,400,0.0575
41,Village - Karingal,Maze Runner: The Death Cure,2018-02-06,14:45,69,225,0.30666666666666664
42,Village - Karingal,Maze Runner: The Death Cure,2018-02-06,18:15,30,175,0.17142857142857146
43,Village - Karingal,Maze Runner: The Death Cure,2018-02-06,19:45,38,200,0.19
44,Village - Karingal,Maze Runner: The Death Cure,2018-02-07,12:30,5,375,0.013333333333333334
45,Village - Karingal,Maze Runner: The Death Cure,2018-02-07,17:30,300,375,0.8
46,Village - Karingal,Maze Runner: The Death Cure,2018-02-07,19:45,10,375,0.02666666666666667
47,Village - Karingal,Maze Runner: The Death Cure,2018-02-08,10:30,20,400,0.05
48,Village - Karingal,Maze Runner: The Death Cure,2018-02-08,17:30,64,225,0.28444444444444444
49,Village - Karingal,Maze Runner: The Death Cure,2018-02-08,21:00,365,400,0.9125
50,Village - Karingal,Maze Runner: The Death Cure,2018-02-09,11:30,20,400,0.05
51,Village - Karingal,Maze Runner: The Death Cure,2018-02-09,13:15,53,200,0.265
52,Village - Karingal,Maze Runner: The Death Cure,2018-02-09,18:30,15,400,0.0375
53,Village - Karingal,Maze Runner: The Death Cure,2018-02-11,20:30,189,350,0.54
54,Village - Karingal,Maze Runner: The Death Cure,2018-02-11,21:00,74,225,0.3288888888888889
55,Village - Karingal,Maze Runner: The Death Cure,2018-02-11,21:30,4,375,0.010666666666666666
56,Village - Karingal,Maze Runner: The Death Cure,2018-02-13,10:30,258,375,0.688
57,Village - Karingal,Maze Runner: The Death Cure,2018-02-13,13:15,93,250,0.37200000000000005
58,Village - Karingal,Maze Runner: The Death Cure,2018-02-13,18:15,129,275,0.4690909090909091
59,Village - Karingal,Maze Runner: The Death Cure,2018-02-14,12:30,139,300,0.4633333333333333
60,Village - Karingal,Maze Runner: The Death Cure,2018-02-14,14:30,25,400,0.0625
61,Village - Karingal,Maze Runner: The Death Cure,2018-02-14,21:30,13,375,0.034666666666666665
62,Village - Karingal,Maze Runner: The Death Cure,2018-02-15,11:30,340,400,0.85
63,Village - Karingal,Maze Runner: The Death Cure,2018-02-15,14:30,149,300,0.4966666666666666
